'White', 'Black', 'Date', 'HalfMoves', 'Moves', 'Result', 'WhiteElo', 'BlackElo', 'GameNumber', 'Event', 'Site', 'EventDate', 'Round', 'ECO', 'Opening'
'Zukertort  Johannes H', 'Steinitz  Wilhelm', '1886.01.11', '92', '46', 'Black', '0', '0', '1', 'World Championship 1st', 'USA', '1886.01.11', '1', 'D11', "Queen's Gambit Declined Slav"
'Steinitz  Wilhelm', 'Zukertort  Johannes H', '1886.01.13', '92', '46', 'Black', '0', '0', '2', 'World Championship 1st', 'USA', '1886.01.11', '2', 'C47', 'Four Knights'
'Zukertort  Johannes H', 'Steinitz  Wilhelm', '1886.01.15', '93', '46', 'White', '0', '0', '3', 'World Championship 1st', 'USA', '1886.01.11', '3', 'D10', "Queen's Gambit Declined Slav"
'Steinitz  Wilhelm', 'Zukertort  Johannes H', '1886.01.18', '78', '39', 'Black', '0', '0', '4', 'World Championship 1st', 'USA', '1886.01.11', '4', 'C67', 'Ruy Lopez'
'Zukertort  Johannes H', 'Steinitz  Wilhelm', '1886.01.20', '63', '31', 'White', '0', '0', '5', 'World Championship 1st', 'USA', '1886.01.11', '5', 'D10', "Queen's Gambit Declined Slav"
'Steinitz  Wilhelm', 'Zukertort  Johannes H', '1886.02.03', '121', '60', 'White', '0', '0', '6', 'World Championship 1st', 'USA', '1886.01.11', '6', 'C67', 'Ruy Lopez'
'Zukertort  Johannes H', 'Steinitz  Wilhelm', '1886.02.05', '70', '35', 'Black', '0', '0', '7', 'World Championship 1st', 'USA', '1886.01.11', '7', 'D40', "Queen's Gambit Declined, Semi-Tarrasch"
'Steinitz  Wilhelm', 'Zukertort  Johannes H', '1886.02.08', '43', '21', 'Draw', '0', '0', '8', 'World Championship 1st', 'USA', '1886.01.11', '8', 'C67', 'Ruy Lopez'
'Zukertort  Johannes H', 'Steinitz  Wilhelm', '1886.02.10', '76', '38', 'Black', '0', '0', '9', 'World Championship 1st', 'USA', '1886.01.11', '9', 'D26', "Queen's Gambit Accepted"
'Steinitz  Wilhelm', 'Zukertort  Johannes H', '1886.02.26', '42', '21', 'Draw', '0', '0', '10', 'World Championship 1st', 'USA', '1886.01.11', '10', 'C67', 'Ruy Lopez'
'Zukertort  Johannes H', 'Steinitz  Wilhelm', '1886.03.01', '84', '42', 'Black', '0', '0', '11', 'World Championship 1st', 'USA', '1886.01.11', '11', 'C49', 'Four Knights'
'Steinitz  Wilhelm', 'Zukertort  Johannes H', '1886.03.03', '87', '43', 'White', '0', '0', '12', 'World Championship 1st', 'USA', '1886.01.11', '12', 'C67', 'Ruy Lopez'
'Zukertort  Johannes H', 'Steinitz  Wilhelm', '1886.03.05', '171', '85', 'White', '0', '0', '13', 'World Championship 1st', 'USA', '1886.01.11', '13', 'D26', "Queen's Gambit Accepted"
'Steinitz  Wilhelm', 'Zukertort  Johannes H', '1886.03.12', '96', '48', 'Draw', '0', '0', '14', 'World Championship 1st', 'USA', '1886.01.11', '14', 'C67', 'Ruy Lopez'
'Zukertort  Johannes H', 'Steinitz  Wilhelm', '1886.03.15', '97', '48', 'Draw', '0', '0', '15', 'World Championship 1st', 'USA', '1886.01.11', '15', 'D50', "Queen's Gambit Declined"
'Steinitz  Wilhelm', 'Zukertort  Johannes H', '1886.03.17', '97', '48', 'White', '0', '0', '16', 'World Championship 1st', 'USA', '1886.01.11', '16', 'C65', 'Ruy Lopez, Berlin Defense'
'Zukertort  Johannes H', 'Steinitz  Wilhelm', '1886.03.19', '104', '52', 'Draw', '0', '0', '17', 'World Championship 1st', 'USA', '1886.01.11', '17', 'D60', "Queen's Gambit Declined, Orthodox Defense"
'Steinitz  Wilhelm', 'Zukertort  Johannes H', '1886.03.22', '79', '39', 'White', '0', '0', '18', 'World Championship 1st', 'USA', '1886.01.11', '18', 'C65', 'Ruy Lopez, Berlin Defense'
'Zukertort  Johannes H', 'Steinitz  Wilhelm', '1886.03.24', '58', '29', 'Black', '0', '0', '19', 'World Championship 1st', 'USA', '1886.01.11', '19', 'D53', "Queen's Gambit Declined"
'Steinitz  Wilhelm', 'Zukertort  Johannes H', '1886.03.29', '37', '18', 'White', '0', '0', '20', 'World Championship 1st', 'USA', '1886.01.11', '20', 'C25', 'Vienna'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1889.01.20', '115', '57', 'White', '0', '0', '21', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '1', 'C52', 'Evans Gambit'
