MoveNumber,Side,Move,FEN,GameNumber
1,white,d4,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,1
2,black,d5,rnbqkbnrppp1pppp83p43P48PPP1PPPPRNBQKBNR,1
3,white,c4,rnbqkbnrppp1pppp83p42PP48PP2PPPPRNBQKBNR,1
4,black,c6,rnbqkbnrpp2pppp2p53p42PP48PP2PPPPRNBQKBNR,1
5,white,e3,rnbqkbnrpp2pppp2p53p42PP44P3PP3PPPRNBQKBNR,1
6,black,Bf5,rn1qkbnrpp2pppp2p53p1b22PP44P3PP3PPPRNBQKBNR,1
7,white,Nc3,rn1qkbnrpp2pppp2p53p1b22PP42N1P3PP3PPPR1BQKBNR,1
8,black,e6,rn1qkbnrpp3ppp2p1p33p1b22PP42N1P3PP3PPPR1BQKBNR,1
9,white,Nf3,rn1qkbnrpp3ppp2p1p33p1b22PP42N1PN2PP3PPPR1BQKB1R,1
10,black,Nd7,r2qkbnrpp1n1ppp2p1p33p1b22PP42N1PN2PP3PPPR1BQKB1R,1
11,white,a3,r2qkbnrpp1n1ppp2p1p33p1b22PP4P1N1PN21P3PPPR1BQKB1R,1
12,black,Bd6,r2qk1nrpp1n1ppp2pbp33p1b22PP4P1N1PN21P3PPPR1BQKB1R,1
13,white,c5,r2qk1nrpp1n1ppp2pbp32Pp1b23P4P1N1PN21P3PPPR1BQKB1R,1
14,black,Bc7,r2qk1nrppbn1ppp2p1p32Pp1b23P4P1N1PN21P3PPPR1BQKB1R,1
15,white,b4,r2qk1nrppbn1ppp2p1p32Pp1b21P1P4P1N1PN25PPPR1BQKB1R,1
16,black,e5,r2qk1nrppbn1ppp2p52Pppb21P1P4P1N1PN25PPPR1BQKB1R,1
17,white,Be2,r2qk1nrppbn1ppp2p52Pppb21P1P4P1N1PN24BPPPR1BQK2R,1
18,black,Ngf6,r2qk2rppbn1ppp2p2n22Pppb21P1P4P1N1PN24BPPPR1BQK2R,1
19,white,Bb2,r2qk2rppbn1ppp2p2n22Pppb21P1P4P1N1PN21B2BPPPR2QK2R,1
20,black,e4,r2qk2rppbn1ppp2p2n22Pp1b21P1Pp3P1N1PN21B2BPPPR2QK2R,1
21,white,Nd2,r2qk2rppbn1ppp2p2n22Pp1b21P1Pp3P1N1P31B1NBPPPR2QK2R,1
22,black,h5,r2qk2rppbn1pp12p2n22Pp1b1p1P1Pp3P1N1P31B1NBPPPR2QK2R,1
23,white,h3,r2qk2rppbn1pp12p2n22Pp1b1p1P1Pp3P1N1P2P1B1NBPP1R2QK2R,1
24,black,Nf8,r2qkn1rppb2pp12p2n22Pp1b1p1P1Pp3P1N1P2P1B1NBPP1R2QK2R,1
25,white,a4,r2qkn1rppb2pp12p2n22Pp1b1pPP1Pp32N1P2P1B1NBPP1R2QK2R,1
26,black,Ng6,r2qk2rppb2pp12p2nn12Pp1b1pPP1Pp32N1P2P1B1NBPP1R2QK2R,1
27,white,b5,r2qk2rppb2pp12p2nn11PPp1b1pP2Pp32N1P2P1B1NBPP1R2QK2R,1
28,black,Nh4,r2qk2rppb2pp12p2n21PPp1b1pP2Pp2n2N1P2P1B1NBPP1R2QK2R,1
29,white,g3,r2qk2rppb2pp12p2n21PPp1b1pP2Pp2n2N1P1PP1B1NBP2R2QK2R,1
30,black,Ng2+,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NBPn1R2QK2R,1
31,white,Kf1,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NBPn1R2Q1K1R,1
32,black,Nxe3+,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1n1PP1B1NBP2R2Q1K1R,1
33,white,fxe3,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NB3R2Q1K1R,1
34,black,Bxg3,r2qk2rpp3pp12p2n21PPp1b1pP2Pp32N1P1bP1B1NB3R2Q1K1R,1
35,white,Kg2,r2qk2rpp3pp12p2n21PPp1b1pP2Pp32N1P1bP1B1NB1K1R2Q3R,1
36,black,Bc7,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P2P1B1NB1K1R2Q3R,1
37,white,Qg1,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P2P1B1NB1K1R5QR,1
